State,County,cooling system type,climate zone,PUE mean
Alabama,Marion County,3,,
Alabama,Marion County,4,,
Alabama,Marion County,5,,
Alabama,Marion County,6,,
Alabama,Marion County,7,,
Alabama,Marion County,8,,
Alabama,Marion County,9,,
Alabama,Marion County,10,,
Alabama,Marion County,11,,
Alabama,Marion County,12,,
Alabama,Marion County,13,,
Alabama,Marion County,14,,
Alabama,Marshall County,1,,
Alabama,Marshall County,2,,
Alabama,Marshall County,3,,
Alabama,Marshall County,4,,
Alabama,Marshall County,5,,
Alabama,Marshall County,6,,
Alabama,Marshall County,7,,
Alabama,Marshall County,8,,
Alabama,Marshall County,9,,
Alabama,Marshall County,10,,
Alabama,Marshall County,11,,
Alabama,Marshall County,12,,
Alabama,Marshall County,13,,
Alabama,Marshall County,14,,
Alabama,Mobile County,1,,
Alabama,Mobile County,2,,
Alabama,Mobile County,3,,
Alabama,Mobile County,4,,
Alabama,Mobile County,5,,
Alabama,Mobile County,6,,
Alabama,Mobile County,7,,
Alabama,Mobile County,8,,
Alabama,Mobile County,9,,
Alabama,Mobile County,10,,
Alabama,Mobile County,11,,
Alabama,Mobile County,12,,
Alabama,Mobile County,13,,
Alabama,Mobile County,14,,
Alabama,Monroe County,1,,
Alabama,Monroe County,2,,
Alabama,Monroe County,3,,
Alabama,Monroe County,4,,
Alabama,Monroe County,5,,
Alabama,Monroe County,6,,
Alabama,Monroe County,7,,
Alabama,Monroe County,8,,
Alabama,Monroe County,9,,
Alabama,Monroe County,10,,
Alabama,Monroe County,11,,
Alabama,Monroe County,12,,
Alabama,Monroe County,13,,
Alabama,Monroe County,14,,
Alabama,Montgomery County,1,,
Alabama,Montgomery County,2,,
Alabama,Montgomery County,3,,
Alabama,Montgomery County,4,,
Alabama,Montgomery County,5,,
Alabama,Montgomery County,6,,
Alabama,Montgomery County,7,,
Alabama,Montgomery County,8,,
Alabama,Montgomery County,9,,
Alabama,Montgomery County,10,,
Alabama,Montgomery County,11,,
Alabama,Montgomery County,12,,
Alabama,Montgomery County,13,,
Alabama,Montgomery County,14,,
Alabama,Morgan County,1,,
Alabama,Morgan County,2,,
Alabama,Morgan County,3,,
Alabama,Morgan County,4,,
Alabama,Morgan County,5,,
Alabama,Morgan County,6,,
Alabama,Morgan County,7,,
Alabama,Morgan County,8,,
Alabama,Morgan County,9,,
Alabama,Morgan County,10,,
Alabama,Morgan County,11,,
Alabama,Morgan County,12,,
Alabama,Morgan County,13,,
Alabama,Morgan County,14,,
Alabama,Perry County,1,,
Alabama,Perry County,2,,
Alabama,Perry County,3,,
Alabama,Perry County,4,,
Alabama,Perry County,5,,
Alabama,Perry County,6,,
Alabama,Perry County,7,,
Alabama,Perry County,8,,
Alabama,Perry County,9,,
Alabama,Perry County,10,,
Alabama,Perry County,11,,
Alabama,Perry County,12,,
Alabama,Perry County,13,,
Alabama,Perry County,14,,
Alabama,Pickens County,1,,
Alabama,Pickens County,2,,
Alabama,Pickens County,3,,
Alabama,Pickens County,4,,
Alabama,Pickens County,5,,
Alabama,Pickens County,6,,
Alabama,Pickens County,7,,
Alabama,Pickens County,8,,
Alabama,Pickens County,9,,
Alabama,Pickens County,10,,
Alabama,Pickens County,11,,
Alabama,Pickens County,12,,
Alabama,Pickens County,13,,
Alabama,Pickens County,14,,
Alabama,Pike County,1,,
Alabama,Pike County,2,,
Alabama,Pike County,3,,
Alabama,Pike County,4,,
Alabama,Pike County,5,,
Alabama,Pike County,6,,
Alabama,Pike County,7,,
Alabama,Pike County,8,,
Alabama,Pike County,9,,
Alabama,Pike County,10,,
Alabama,Pike County,11,,
Alabama,Pike County,12,,
Alabama,Pike County,13,,
Alabama,Pike County,14,,
Alabama,Randolph County,1,,
Alabama,Randolph County,2,,
Alabama,Randolph County,3,,
Alabama,Randolph County,4,,
Alabama,Randolph County,5,,
Alabama,Randolph County,6,,
Alabama,Randolph County,7,,
Alabama,Randolph County,8,,
Alabama,Randolph County,9,,
Alabama,Randolph County,10,,
Alabama,Randolph County,11,,
Alabama,Randolph County,12,,
Alabama,Randolph County,13,,
