State,County,cooling system type,climate zone,PUE mean,WR_CaseB_DWSF_L_per_kWh,WR_SWI_L_per_kWh
Alabama,Dale County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Dale County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Dale County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Dale County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Dale County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Dale County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Dale County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Dale County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Dale County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Dale County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Dallas County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Dallas County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Dallas County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Dallas County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Dallas County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Dallas County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Dallas County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Dallas County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Dallas County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Dallas County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Dallas County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Dallas County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Dallas County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Dallas County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,DeKalb County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,DeKalb County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,DeKalb County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,DeKalb County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,DeKalb County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,DeKalb County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,DeKalb County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,DeKalb County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,DeKalb County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,DeKalb County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,DeKalb County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,DeKalb County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,DeKalb County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,DeKalb County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Elmore County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Elmore County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Elmore County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Elmore County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Elmore County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Elmore County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Elmore County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Elmore County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Elmore County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Elmore County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Elmore County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Elmore County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Elmore County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Elmore County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Escambia County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Escambia County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Escambia County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Escambia County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Escambia County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Escambia County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Escambia County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Escambia County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Escambia County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Escambia County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Escambia County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Escambia County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Escambia County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Escambia County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Etowah County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Etowah County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Etowah County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Etowah County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Etowah County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Etowah County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Etowah County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Etowah County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Etowah County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Etowah County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Etowah County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Etowah County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Etowah County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Etowah County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Fayette County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Fayette County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Fayette County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Fayette County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Fayette County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Fayette County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Fayette County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Fayette County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Fayette County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Fayette County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Fayette County,11,3A,1.2664,-7.41320326,0.687173942
