State,County,cooling system type,climate zone,PUE mean
Alabama,Etowah County,3,3A,1.53995
Alabama,Etowah County,4,3A,1.4143
Alabama,Etowah County,5,3A,1.63775
Alabama,Etowah County,6,3A,1.62605
Alabama,Etowah County,7,3A,1.8597
Alabama,Etowah County,8,3A,1.87095
Alabama,Etowah County,9,3A,2.0324
Alabama,Etowah County,10,3A,2.1448
Alabama,Etowah County,11,3A,1.2664
Alabama,Etowah County,12,3A,1.4528
Alabama,Etowah County,13,3A,1.37885
Alabama,Etowah County,14,3A,1.60905
Alabama,Fayette County,1,3A,1.1968
Alabama,Fayette County,2,3A,1.15765
Alabama,Fayette County,3,3A,1.53995
Alabama,Fayette County,4,3A,1.4143
Alabama,Fayette County,5,3A,1.63775
Alabama,Fayette County,6,3A,1.62605
Alabama,Fayette County,7,3A,1.8597
Alabama,Fayette County,8,3A,1.87095
Alabama,Fayette County,9,3A,2.0324
Alabama,Fayette County,10,3A,2.1448
Alabama,Fayette County,11,3A,1.2664
Alabama,Fayette County,12,3A,1.4528
Alabama,Fayette County,13,3A,1.37885
Alabama,Fayette County,14,3A,1.60905
Alabama,Franklin County,1,3A,1.1968
Alabama,Franklin County,2,3A,1.15765
Alabama,Franklin County,3,3A,1.53995
Alabama,Franklin County,4,3A,1.4143
Alabama,Franklin County,5,3A,1.63775
Alabama,Franklin County,6,3A,1.62605
Alabama,Franklin County,7,3A,1.8597
Alabama,Franklin County,8,3A,1.87095
Alabama,Franklin County,9,3A,2.0324
Alabama,Franklin County,10,3A,2.1448
Alabama,Franklin County,11,3A,1.2664
Alabama,Franklin County,12,3A,1.4528
Alabama,Franklin County,13,3A,1.37885
Alabama,Franklin County,14,3A,1.60905
Alabama,Geneva County,1,3A,1.1968
Alabama,Geneva County,2,3A,1.15765
Alabama,Geneva County,3,3A,1.53995
Alabama,Geneva County,4,3A,1.4143
Alabama,Geneva County,5,3A,1.63775
Alabama,Geneva County,6,3A,1.62605
Alabama,Geneva County,7,3A,1.8597
Alabama,Geneva County,8,3A,1.87095
Alabama,Geneva County,9,3A,2.0324
Alabama,Geneva County,10,3A,2.1448
Alabama,Geneva County,11,3A,1.2664
Alabama,Geneva County,12,3A,1.4528
Alabama,Geneva County,13,3A,1.37885
Alabama,Geneva County,14,3A,1.60905
Alabama,Greene County,1,3A,1.1968
Alabama,Greene County,2,3A,1.15765
Alabama,Greene County,3,3A,1.53995
Alabama,Greene County,4,3A,1.4143
Alabama,Greene County,5,3A,1.63775
Alabama,Greene County,6,3A,1.62605
Alabama,Greene County,7,3A,1.8597
Alabama,Greene County,8,3A,1.87095
Alabama,Greene County,9,3A,2.0324
Alabama,Greene County,10,3A,2.1448
Alabama,Greene County,11,3A,1.2664
Alabama,Greene County,12,3A,1.4528
Alabama,Greene County,13,3A,1.37885
Alabama,Greene County,14,3A,1.60905
Alabama,Hale County,1,3A,1.1968
Alabama,Hale County,2,3A,1.15765
Alabama,Hale County,3,3A,1.53995
Alabama,Hale County,4,3A,1.4143
Alabama,Hale County,5,3A,1.63775
Alabama,Hale County,6,3A,1.62605
Alabama,Hale County,7,3A,1.8597
Alabama,Hale County,8,3A,1.87095
Alabama,Hale County,9,3A,2.0324
Alabama,Hale County,10,3A,2.1448
Alabama,Hale County,11,3A,1.2664
Alabama,Hale County,12,3A,1.4528
Alabama,Hale County,13,3A,1.37885
Alabama,Hale County,14,3A,1.60905
Alabama,Henry County,1,3A,1.1968
Alabama,Henry County,2,3A,1.15765
Alabama,Henry County,3,3A,1.53995
Alabama,Henry County,4,3A,1.4143
Alabama,Henry County,5,3A,1.63775
Alabama,Henry County,6,3A,1.62605
Alabama,Henry County,7,3A,1.8597
Alabama,Henry County,8,3A,1.87095
Alabama,Henry County,9,3A,2.0324
Alabama,Henry County,10,3A,2.1448
Alabama,Henry County,11,3A,1.2664
Alabama,Henry County,12,3A,1.4528
Alabama,Henry County,13,3A,1.37885
Alabama,Henry County,14,3A,1.60905
Alabama,Houston County,1,3A,1.1968
Alabama,Houston County,2,3A,1.15765
Alabama,Houston County,3,3A,1.53995
Alabama,Houston County,4,3A,1.4143
Alabama,Houston County,5,3A,1.63775
Alabama,Houston County,6,3A,1.62605
Alabama,Houston County,7,3A,1.8597
Alabama,Houston County,8,3A,1.87095
Alabama,Houston County,9,3A,2.0324
Alabama,Houston County,10,3A,2.1448
Alabama,Houston County,11,3A,1.2664
Alabama,Houston County,12,3A,1.4528
Alabama,Houston County,13,3A,1.37885
Alabama,Houston County,14,3A,1.60905
Alabama,Jackson County,1,3A,1.1968
Alabama,Jackson County,2,3A,1.15765
Alabama,Jackson County,3,3A,1.53995
Alabama,Jackson County,4,3A,1.4143
Alabama,Jackson County,5,3A,1.63775
Alabama,Jackson County,6,3A,1.62605
Alabama,Jackson County,7,3A,1.8597
Alabama,Jackson County,8,3A,1.87095
Alabama,Jackson County,9,3A,2.0324
Alabama,Jackson County,10,3A,2.1448
Alabama,Jackson County,11,3A,1.2664
